,Year,Month,Days,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
385,2022,1,21,4,0,0,1,3,103,0,91,89.82,85.0
386,2022,12,1,3,0,0,2,2,1,1,100,104.94,109.0
387,2022,11,5,5,1,0,1,5,103,1,96,112.5,85.0
388,2022,8,30,1,0,0,2,7,0,1,98,82.25,80.0
389,2022,6,5,6,1,0,1,3,0,4,88,91.36,99.0
390,2022,9,18,6,1,0,1,2,104,1,76,81.88,114.0
391,2022,4,28,3,0,0,1,2,0,4,100,98.14,119.0
392,2022,11,19,5,1,0,1,0,0,1,99,136.32,129.0
393,2022,11,11,4,0,0,1,2,0,1,100,137.21,149.0
394,2022,4,8,4,0,0,1,3,0,1,100,136.23,139.0
395,2022,10,4,1,0,0,1,5,64,3,100,77.29,108.3
396,2021,12,29,2,0,0,1,2,0,1,90,78.69,90.0
397,2022,9,9,4,0,0,2,7,106,3,100,99.83,139.23
398,2022,8,20,5,1,0,1,2,21,1,100,100.31,70.85
399,2022,5,7,5,1,0,1,3,0,1,100,125.34,189.0
400,2022,5,29,6,1,0,1,3,0,0,74,92.14,104.0
401,2022,6,20,0,0,0,2,3,21,1,100,91.59,77.35
402,2022,1,11,1,0,0,1,6,0,1,96,76.55,119.0
403,2022,8,7,6,1,0,5,2,25,0,92,87.99,70.0
404,2022,1,29,5,1,0,1,3,58,3,100,122.01,139.0
405,2022,2,6,6,1,0,1,3,1,1,100,104.88,129.0
406,2022,9,12,0,0,0,1,2,0,0,100,85.45,119.0
407,2022,2,10,3,0,0,1,7,64,1,96,102.62,103.55
408,2022,9,23,4,0,0,3,3,106,1,100,147.46,206.1
409,2022,1,23,6,1,0,1,2,103,0,78,76.06,85.0
410,2021,9,10,4,0,0,1,3,1,1,100,114.73,120.0
411,2021,8,18,2,0,0,1,7,4,0,99,79.82,70.0
